split,image,label,source_dataset,source_split,source_image,source_label,box_count,has_objects
train,data/yolo/ad_surface_v3_finetune/images/train/003.png,data/yolo/ad_surface_v3_finetune/labels/train/003.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/003.png,data/yolo/ad_surface_v2/labels/train/003.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/004.png,data/yolo/ad_surface_v3_finetune/labels/train/004.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/004.png,data/yolo/ad_surface_v2/labels/train/004.txt,5,1
train,data/yolo/ad_surface_v3_finetune/images/train/007.png,data/yolo/ad_surface_v3_finetune/labels/train/007.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/007.png,data/yolo/ad_surface_v2/labels/train/007.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/008.png,data/yolo/ad_surface_v3_finetune/labels/train/008.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/008.png,data/yolo/ad_surface_v2/labels/train/008.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/010.png,data/yolo/ad_surface_v3_finetune/labels/train/010.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/010.png,data/yolo/ad_surface_v2/labels/train/010.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/011.png,data/yolo/ad_surface_v3_finetune/labels/train/011.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/011.png,data/yolo/ad_surface_v2/labels/train/011.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/012.png,data/yolo/ad_surface_v3_finetune/labels/train/012.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/012.png,data/yolo/ad_surface_v2/labels/train/012.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/013.png,data/yolo/ad_surface_v3_finetune/labels/train/013.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/013.png,data/yolo/ad_surface_v2/labels/train/013.txt,5,1
train,data/yolo/ad_surface_v3_finetune/images/train/014.png,data/yolo/ad_surface_v3_finetune/labels/train/014.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/014.png,data/yolo/ad_surface_v2/labels/train/014.txt,5,1
train,data/yolo/ad_surface_v3_finetune/images/train/015.png,data/yolo/ad_surface_v3_finetune/labels/train/015.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/015.png,data/yolo/ad_surface_v2/labels/train/015.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/016.png,data/yolo/ad_surface_v3_finetune/labels/train/016.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/016.png,data/yolo/ad_surface_v2/labels/train/016.txt,0,0
