epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1521,0.36363,0.30309,0.81533,0.88965,0.85536,0.91417,0.79251,0.56357,0.60336,0.92644,0.0019823,0.0019823,0.0019823
2,122.679,0.4365,0.37616,0.84238,0.89402,0.82167,0.87626,0.75427,0.58282,0.69486,0.93309,0.00199458,0.00199458,0.00199458
3,181.952,0.42324,0.38107,0.83653,0.89077,0.77315,0.86997,0.75143,0.58297,0.73174,0.93548,0.00197837,0.00197837,0.00197837
4,255.41,0.4105,0.34208,0.83015,0.89598,0.81264,0.89707,0.77308,0.59728,0.68899,0.93507,0.00195155,0.00195155,0.00195155
5,299.016,0.38545,0.31854,0.82129,0.88592,0.8465,0.90239,0.77835,0.58807,0.64375,0.94475,0.00191441,0.00191441,0.00191441
6,351.37,0.37555,0.30954,0.82018,0.92265,0.83475,0.90083,0.78782,0.5618,0.79787,0.92395,0.00186737,0.00186737,0.00186737
7,400.699,0.36075,0.29498,0.81258,0.87564,0.79458,0.86843,0.75546,0.58932,0.83177,0.95783,0.00181093,0.00181093,0.00181093
8,445.382,0.33846,0.28297,0.80552,0.92525,0.82619,0.8923,0.7874,0.52324,0.64106,0.8923,0.00174571,0.00174571,0.00174571
9,491.4,0.32793,0.26755,0.80642,0.90439,0.8465,0.90555,0.79635,0.52191,0.66416,0.90123,0.00167244,0.00167244,0.00167244
10,545.096,0.30783,0.25773,0.80038,0.92119,0.85553,0.90823,0.7988,0.52612,0.62272,0.89915,0.00159191,0.00159191,0.00159191
11,588.166,0.29129,0.24563,0.79643,0.91287,0.86907,0.89283,0.7935,0.50953,0.65858,0.90339,0.001505,0.001505,0.001505
12,632.25,0.26966,0.23056,0.79007,0.88808,0.79458,0.85888,0.76457,0.51917,0.84308,0.91033,0.00141267,0.00141267,0.00141267
13,677.05,0.25926,0.21929,0.78528,0.94182,0.82619,0.90195,0.8032,0.50224,0.64804,0.89815,0.00131593,0.00131593,0.00131593
14,731.083,0.24569,0.20871,0.7825,0.92614,0.8492,0.91535,0.81041,0.47897,0.57383,0.87992,0.00121583,0.00121583,0.00121583
15,781.888,0.23353,0.20028,0.78165,0.91678,0.84553,0.90629,0.81744,0.46667,0.56099,0.88292,0.00111348,0.00111348,0.00111348
16,828.64,0.21862,0.18803,0.777,0.88469,0.88262,0.906,0.816,0.46997,0.5362,0.89045,0.00101,0.00101,0.00101
17,872.548,0.20242,0.17475,0.77269,0.93947,0.84093,0.91728,0.83195,0.45688,0.52475,0.88027,0.000906517,0.000906517,0.000906517
18,920.121,0.19145,0.1658,0.77131,0.93518,0.84677,0.90118,0.81773,0.46284,0.57164,0.87894,0.000804167,0.000804167,0.000804167
19,985.227,0.17923,0.15553,0.76866,0.93723,0.85553,0.90234,0.81915,0.4609,0.58043,0.88036,0.000704073,0.000704073,0.000704073
20,1065.92,0.1664,0.147,0.77083,0.92701,0.86008,0.91,0.82821,0.4464,0.55147,0.87972,0.000607331,0.000607331,0.000607331
21,1123.13,0.15573,0.13863,0.76654,0.94644,0.83765,0.90877,0.82406,0.44283,0.5454,0.87556,0.000515,0.000515,0.000515
22,1168.25,0.14725,0.13041,0.76573,0.92751,0.86456,0.90321,0.82354,0.44345,0.54277,0.87749,0.000428093,0.000428093,0.000428093
23,1210.32,0.14223,0.1239,0.76312,0.92017,0.86682,0.90915,0.82791,0.44431,0.54096,0.8834,0.000347561,0.000347561,0.000347561
24,1257.04,0.13353,0.11771,0.76149,0.92399,0.86456,0.90293,0.82427,0.44325,0.55629,0.88347,0.000274287,0.000274287,0.000274287
25,1310.32,0.12812,0.11291,0.76197,0.92475,0.85991,0.90241,0.82278,0.43862,0.55911,0.87929,0.000209073,0.000209073,0.000209073
26,1375.88,0.12452,0.11004,0.76105,0.92612,0.86005,0.90171,0.82213,0.43466,0.54049,0.87533,0.000152635,0.000152635,0.000152635
27,1437.26,0.12091,0.10711,0.76169,0.92398,0.8623,0.90129,0.822,0.43639,0.5454,0.8765,0.00010559,0.00010559,0.00010559
