epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8823,0.91901,1.59632,1.05636,0.58459,0.54955,0.51851,0.32324,1.25128,2.95024,1.55522,0.000660606,0.000660606,0.000660606
2,96.1827,1.1614,1.50252,1.21296,0.11892,0.60497,0.19516,0.11223,1.34286,30.744,1.60735,0.00132713,0.00132713,0.00132713
3,147.943,1.17307,1.3489,1.22477,0.081,0.59142,0.10589,0.06663,1.26743,nan,1.50146,0.00199307,0.00199307,0.00199307
4,201.807,1.14936,1.33154,1.20552,0.49737,0.49661,0.49632,0.32986,1.20335,4.32731,1.35236,0.00199805,0.00199805,0.00199805
5,252.917,1.10071,1.23921,1.18388,0.47166,0.45372,0.43756,0.29317,1.25932,5.45648,1.38582,0.00199653,0.00199653,0.00199653
6,304.79,1.06474,1.15812,1.14535,0.61744,0.60722,0.60466,0.44757,1.02828,2.19246,1.15279,0.00199458,0.00199458,0.00199458
7,356.234,1.00867,1.08096,1.10875,0.74785,0.58247,0.67572,0.49509,1.05578,1.58271,1.19993,0.00199219,0.00199219,0.00199219
8,407.54,0.98028,1.07243,1.1149,0.72978,0.60271,0.66688,0.48772,1.00351,1.50387,1.15142,0.00198938,0.00198938,0.00198938
9,472.971,0.92837,0.99837,1.07852,0.72429,0.67604,0.7226,0.55772,0.90303,1.43806,1.08698,0.00198614,0.00198614,0.00198614
10,514.942,0.91687,0.97376,1.06882,0.67986,0.60045,0.66922,0.50526,0.95195,1.6833,1.13617,0.00198246,0.00198246,0.00198246
11,559.388,0.89865,0.95637,1.07261,0.72679,0.70203,0.75541,0.57768,0.90333,1.50022,1.06927,0.00197837,0.00197837,0.00197837
12,610.236,0.88689,0.91571,1.05029,0.76456,0.7246,0.78792,0.60311,0.89377,1.09179,1.07438,0.00197384,0.00197384,0.00197384
13,661.657,0.85419,0.89015,1.03674,0.81129,0.72782,0.80773,0.64226,0.81513,1.03069,1.0353,0.0019689,0.0019689,0.0019689
14,701.447,0.82609,0.82852,1.02858,0.80977,0.7088,0.79877,0.62795,0.85496,1.14144,1.07442,0.00196353,0.00196353,0.00196353
15,745.594,0.81215,0.81353,1.01829,0.78834,0.70429,0.78358,0.60139,0.87826,1.40945,1.06756,0.00195775,0.00195775,0.00195775
16,787.703,0.79759,0.80886,1.00729,0.83872,0.72783,0.82513,0.65392,0.78767,1.01279,1.01444,0.00195155,0.00195155,0.00195155
