epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3732,0.99257,4.73608,1.01549,0.55719,0.59155,0.55331,0.3934,1.00025,1.99197,1.10497,0.000661417,0.000661417,0.000661417
2,34.419,0.99232,1.33648,1.02013,0.63773,0.53521,0.59495,0.40211,1.09035,1.60834,1.09388,0.00130179,0.00130179,0.00130179
3,47.9345,1.03257,1.15657,1.06621,0.54057,0.48592,0.45312,0.30814,1.11767,2.16284,1.15005,0.00191576,0.00191576,0.00191576
4,58.8461,1.07629,1.22349,1.04546,0.61649,0.60915,0.63502,0.44846,1.05516,1.57539,1.11402,0.0018812,0.0018812,0.0018812
5,72.4241,1.03956,1.06515,1.04803,0.7065,0.7007,0.7739,0.57583,0.95178,2.13869,1.04399,0.0018416,0.0018416,0.0018416
6,84.1204,1.02974,1.09932,1.04001,0.738,0.70775,0.77982,0.58274,0.93118,1.13228,1.01205,0.001802,0.001802,0.001802
7,98.7802,0.98385,0.97445,1.0315,0.82075,0.74296,0.83383,0.60373,0.96289,1.13068,1.0863,0.0017624,0.0017624,0.0017624
8,109.568,0.92403,0.89753,1.01351,0.82424,0.75956,0.85044,0.63474,0.88711,0.85583,0.99335,0.0017228,0.0017228,0.0017228
9,123.918,0.89563,0.83863,0.99151,0.76181,0.76761,0.80767,0.57829,0.92238,0.91456,1.01611,0.0016832,0.0016832,0.0016832
10,135.283,0.85901,0.80536,0.96678,0.83847,0.80421,0.85954,0.63728,0.85692,0.80494,1.00096,0.0016436,0.0016436,0.0016436
11,149.276,0.85326,0.77454,0.96489,0.79263,0.75371,0.82747,0.63713,0.79948,1.23343,0.95516,0.001604,0.001604,0.001604
12,162.545,0.82138,0.74965,0.95985,0.74977,0.80184,0.84108,0.63175,0.85462,0.90643,0.99087,0.0015644,0.0015644,0.0015644
13,173.254,0.83639,0.76679,0.95971,0.83306,0.79068,0.8804,0.67409,0.83005,0.75287,0.96419,0.0015248,0.0015248,0.0015248
14,187.149,0.7973,0.71876,0.94308,0.90834,0.81338,0.90729,0.70078,0.79779,0.79367,0.9451,0.0014852,0.0014852,0.0014852
15,197.729,0.8043,0.71567,0.94344,0.88864,0.78675,0.89317,0.70219,0.79037,0.78464,0.94688,0.0014456,0.0014456,0.0014456
16,211.495,0.80033,0.71021,0.94132,0.82734,0.83099,0.8657,0.68759,0.755,0.83686,0.92331,0.001406,0.001406,0.001406
17,224.681,0.77224,0.65876,0.93708,0.82429,0.84507,0.89026,0.72118,0.74851,0.78224,0.92771,0.0013664,0.0013664,0.0013664
18,235.032,0.75031,0.64148,0.92792,0.86886,0.82394,0.90318,0.71624,0.73516,0.72552,0.92374,0.0013268,0.0013268,0.0013268
