epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.829,0.61217,0.55624,1.01798,0.9237,0.81994,0.90726,0.74643,0.68522,0.7939,1.11703,0.000997573,0.000997573,0.000997573
2,227.267,0.73903,0.68181,1.11192,0.91671,0.79272,0.89527,0.73174,0.70036,0.79119,1.15492,0.00197285,0.00197285,0.00197285
3,336.38,0.74601,0.80639,1.12627,0.91819,0.80839,0.88804,0.71543,0.73756,0.8565,1.18932,0.0019505,0.0019505,0.0019505
4,446.608,0.74532,0.83062,1.13088,0.84762,0.82271,0.88522,0.72408,0.70558,0.78227,1.164,0.00192575,0.00192575,0.00192575
5,556.03,0.76468,0.86385,1.11571,0.83364,0.84677,0.88578,0.71096,0.76048,1.04921,1.18349,0.001901,0.001901,0.001901
6,665.01,0.79111,0.97736,1.13049,0.91496,0.81994,0.91119,0.72504,0.75478,0.71594,1.17541,0.00187625,0.00187625,0.00187625
7,777.224,0.76787,0.7959,1.11807,0.88593,0.81994,0.90452,0.72842,0.71538,0.74764,1.15464,0.0018515,0.0018515,0.0018515
8,888.891,0.75272,0.83569,1.14107,0.83322,0.81994,0.87929,0.7033,0.78058,0.86546,1.24271,0.00182675,0.00182675,0.00182675
9,1003.15,0.73094,0.773,1.09818,0.86848,0.80483,0.88728,0.72795,0.73247,0.7813,1.15364,0.001802,0.001802,0.001802
10,1119.37,0.75972,0.80884,1.1452,0.91018,0.84214,0.91112,0.74636,0.69368,0.76402,1.13316,0.00177725,0.00177725,0.00177725
11,1229.92,0.77763,0.74582,1.136,0.90557,0.82825,0.90653,0.7351,0.74159,0.97108,1.18441,0.0017525,0.0017525,0.0017525
12,1346.13,0.72029,0.7536,1.08661,0.90939,0.80629,0.89814,0.74612,0.7064,0.75045,1.13056,0.00172775,0.00172775,0.00172775
13,1463.19,0.74512,0.82005,1.11762,0.86351,0.83657,0.90151,0.72417,0.72259,0.77886,1.14051,0.001703,0.001703,0.001703
14,1580.89,0.75304,0.73678,1.13035,0.87121,0.82271,0.89766,0.73282,0.69543,0.75313,1.12753,0.00167825,0.00167825,0.00167825
15,1697.92,0.72331,0.75114,1.09813,0.89923,0.84488,0.90914,0.75209,0.70265,0.78141,1.15376,0.0016535,0.0016535,0.0016535
16,1822.61,0.72057,0.74001,1.12416,0.84855,0.8536,0.90699,0.74411,0.68633,0.78656,1.11751,0.00162875,0.00162875,0.00162875
17,1944.56,0.69842,0.72486,1.08828,0.87252,0.83425,0.90814,0.75514,0.6931,0.752,1.14478,0.001604,0.001604,0.001604
18,2060.09,0.73321,0.75293,1.12312,0.89642,0.81994,0.90584,0.74693,0.72524,0.80124,1.15745,0.00157925,0.00157925,0.00157925
19,2180.25,0.71056,0.70193,1.09023,0.92385,0.84016,0.91983,0.76056,0.72225,0.6862,1.15693,0.0015545,0.0015545,0.0015545
20,2298.53,0.702,0.69505,1.08433,0.90819,0.82202,0.89969,0.745,0.69321,0.77096,1.13749,0.00152975,0.00152975,0.00152975
21,2412.73,0.67568,0.73446,1.08555,0.907,0.86455,0.9268,0.77069,0.67878,0.67368,1.11837,0.001505,0.001505,0.001505
22,2520.64,0.70583,0.68189,1.09552,0.9117,0.85803,0.91891,0.76116,0.70747,0.83958,1.13541,0.00148025,0.00148025,0.00148025
23,2631.17,0.68923,0.65094,1.05539,0.90248,0.84601,0.90471,0.75617,0.66899,0.78302,1.10924,0.0014555,0.0014555,0.0014555
24,2752.55,0.69568,0.65352,1.07372,0.86948,0.84887,0.91385,0.76044,0.68767,0.69956,1.13828,0.00143075,0.00143075,0.00143075
25,2878.45,0.67825,0.73738,1.06318,0.91919,0.85078,0.92483,0.78163,0.64687,0.638,1.09148,0.001406,0.001406,0.001406
26,3017.2,0.66859,0.64191,1.04596,0.91335,0.84674,0.92812,0.77397,0.64656,0.66994,1.08608,0.00138125,0.00138125,0.00138125
27,3216.42,0.64831,0.60714,1.02885,0.8937,0.86704,0.92804,0.78217,0.63897,0.65781,1.07599,0.0013565,0.0013565,0.0013565
28,3351.66,0.66209,0.6033,1.07127,0.93029,0.86427,0.92694,0.779,0.66438,0.66687,1.10012,0.00133175,0.00133175,0.00133175
29,4546.88,0.61703,0.57573,1.0097,0.90773,0.87258,0.92396,0.7726,0.65713,0.69786,1.08112,0.001307,0.001307,0.001307
