epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.703,3.54822,6.83991,3.97505,0.00755,0.00838,0.00148,0.00031,3.39263,17.2865,4.63775,0.000665008,0.000665008,0.000665008
2,245.73,3.24344,4.05835,3.37279,0.03738,0.11173,0.01781,0.00319,2.92785,3.899,3.25596,0.00132289,0.00132289,0.00132289
3,350.871,2.99727,3.71255,3.05101,0.03557,0.08939,0.01431,0.00403,2.79602,4.45453,3.00589,0.00197196,0.00197196,0.00197196
4,453.096,2.81273,3.60273,2.90924,0.02913,0.13128,0.02003,0.00468,2.70967,3.89923,2.91216,0.0019604,0.0019604,0.0019604
5,577.017,2.72319,3.36678,2.82588,0.05176,0.07821,0.02734,0.00879,2.59108,3.57774,2.8135,0.0019472,0.0019472,0.0019472
6,710.645,2.61296,3.28762,2.71484,0.17699,0.10335,0.06643,0.02062,2.51884,3.37364,2.76224,0.001934,0.001934,0.001934
7,839.174,2.47435,3.17918,2.56465,0.19145,0.15363,0.10762,0.03841,2.33534,3.09291,2.61063,0.0019208,0.0019208,0.0019208
8,945.748,2.35792,3.06235,2.46082,0.17546,0.2067,0.10986,0.0438,2.24352,3.10621,2.52499,0.0019076,0.0019076,0.0019076
9,1049.66,2.24583,2.89174,2.33555,0.1171,0.1676,0.06814,0.02632,2.1535,4.89781,2.43926,0.0018944,0.0018944,0.0018944
10,1155.45,2.18822,2.78029,2.32841,0.13841,0.18994,0.08728,0.03528,2.13868,4.39388,2.36445,0.0018812,0.0018812,0.0018812
11,1258.72,2.15538,2.63603,2.28519,0.20289,0.27374,0.16363,0.07001,2.22551,3.16628,2.47616,0.001868,0.001868,0.001868
12,1389.62,1.9955,2.48371,2.14815,0.38223,0.37709,0.29157,0.14097,1.89481,2.43511,2.20555,0.0018548,0.0018548,0.0018548
13,1524.13,1.97773,2.38164,2.14971,0.35805,0.30848,0.28789,0.15362,1.86974,2.51705,2.1688,0.0018416,0.0018416,0.0018416
14,1659.93,1.89182,2.35082,2.06144,0.56053,0.42397,0.47395,0.25603,1.74688,2.17247,2.06772,0.0018284,0.0018284,0.0018284
15,1793.73,1.76657,2.14651,1.96683,0.60898,0.53911,0.54309,0.3087,1.66101,1.97895,1.93662,0.0018152,0.0018152,0.0018152
16,1929.99,1.72707,2.08646,1.91049,0.62309,0.50559,0.55732,0.31917,1.61533,2.05623,1.9559,0.001802,0.001802,0.001802
17,2064.09,1.67876,1.97672,1.89859,0.57001,0.47765,0.4935,0.29329,1.56768,2.07873,1.88282,0.0017888,0.0017888,0.0017888
18,2199.43,1.5579,1.89626,1.7949,0.62004,0.52235,0.59355,0.36791,1.50322,1.84161,1.85488,0.0017756,0.0017756,0.0017756
19,2333.91,1.51791,1.79288,1.74078,0.6242,0.52428,0.57343,0.33764,1.54053,1.99119,1.85213,0.0017624,0.0017624,0.0017624
20,2467.17,1.50148,1.77892,1.77044,0.65145,0.54295,0.60921,0.37931,1.46506,1.7308,1.77492,0.0017492,0.0017492,0.0017492
21,2603.3,1.47781,1.81046,1.71976,0.61263,0.57263,0.61396,0.38413,1.42691,1.81128,1.76739,0.001736,0.001736,0.001736
22,2737.27,1.4237,1.63488,1.66222,0.68237,0.59408,0.6837,0.43894,1.36755,1.62514,1.71844,0.0017228,0.0017228,0.0017228
23,2872.98,1.35698,1.67145,1.62454,0.76944,0.57821,0.70933,0.48129,1.27925,1.48844,1.67286,0.0017096,0.0017096,0.0017096
24,3006.68,1.3057,1.54577,1.59676,0.7268,0.60193,0.70933,0.48438,1.23985,1.50845,1.63586,0.0016964,0.0016964,0.0016964
25,3143.21,1.34169,1.60846,1.61443,0.68612,0.63128,0.68566,0.47666,1.26341,1.80252,1.65544,0.0016832,0.0016832,0.0016832
26,3276.31,1.33331,1.52764,1.57866,0.76656,0.58939,0.70118,0.49233,1.22022,1.60152,1.61986,0.00167,0.00167,0.00167
27,3412.84,1.29338,1.47923,1.58773,0.72194,0.63966,0.72572,0.49569,1.21873,1.50173,1.61152,0.0016568,0.0016568,0.0016568
28,3547,1.22672,1.39375,1.54308,0.76052,0.68306,0.75996,0.53468,1.15677,1.54693,1.58625,0.0016436,0.0016436,0.0016436
29,3683.77,1.1994,1.33667,1.5267,0.75138,0.67877,0.76079,0.53368,1.16355,1.38281,1.59042,0.0016304,0.0016304,0.0016304
30,3817.32,1.21774,1.41828,1.5041,0.72822,0.71849,0.77395,0.54268,1.12195,1.29921,1.55554,0.0016172,0.0016172,0.0016172
31,3953.62,1.18241,1.3808,1.46707,0.74766,0.71788,0.78215,0.56049,1.08426,1.32415,1.50487,0.001604,0.001604,0.001604
32,4087.87,1.14329,1.29486,1.44787,0.85307,0.67039,0.81385,0.59047,1.07438,1.19609,1.50908,0.0015908,0.0015908,0.0015908
33,4224.63,1.19313,1.35369,1.48284,0.76337,0.70391,0.75808,0.54979,1.08677,1.40928,1.50454,0.0015776,0.0015776,0.0015776
34,4356.65,1.18644,1.39996,1.46407,0.78396,0.7197,0.8124,0.58401,1.10145,1.2047,1.51771,0.0015644,0.0015644,0.0015644
35,4491.02,1.11691,1.24388,1.43135,0.81569,0.7541,0.82943,0.60488,1.04434,1.26618,1.46239,0.0015512,0.0015512,0.0015512
36,4626.12,1.07606,1.20261,1.38789,0.83234,0.70723,0.81519,0.60368,1.00616,1.14247,1.43716,0.001538,0.001538,0.001538
37,4760.32,1.1068,1.27949,1.40407,0.76187,0.72067,0.80834,0.58823,1.02127,1.27105,1.41291,0.0015248,0.0015248,0.0015248
38,4894.64,1.08911,1.24544,1.39158,0.83857,0.71508,0.82488,0.59707,1.02024,1.23935,1.45179,0.0015116,0.0015116,0.0015116
39,5028.65,1.05573,1.1305,1.38445,0.79052,0.75978,0.83044,0.61941,0.96717,1.1481,1.41274,0.0014984,0.0014984,0.0014984
40,5163.16,1.06222,1.20778,1.37599,0.73883,0.727,0.78264,0.54306,1.04872,1.31347,1.44744,0.0014852,0.0014852,0.0014852
41,5297.73,1.07224,1.13027,1.38271,0.76928,0.75419,0.82105,0.60792,0.99635,1.14014,1.38507,0.001472,0.001472,0.001472
42,5432.69,1.0365,1.10243,1.34653,0.82557,0.72905,0.83277,0.61334,0.98009,1.13271,1.40128,0.0014588,0.0014588,0.0014588
43,5567.12,1.03725,1.08743,1.33398,0.81695,0.76045,0.83972,0.62546,0.95687,1.02845,1.35834,0.0014456,0.0014456,0.0014456
44,5702.11,1.03857,1.09876,1.33716,0.80891,0.76858,0.84655,0.62425,0.9932,1.12062,1.43231,0.0014324,0.0014324,0.0014324
45,5836.41,1.07454,1.14438,1.38037,0.8219,0.77374,0.8603,0.64063,0.9363,1.01813,1.37066,0.0014192,0.0014192,0.0014192
46,5971.17,1.00622,1.13582,1.32143,0.87219,0.68624,0.81545,0.61189,0.94567,1.0876,1.37643,0.001406,0.001406,0.001406
47,6105.5,0.94832,0.97891,1.2845,0.82403,0.78771,0.87646,0.66514,0.90608,1.00291,1.33951,0.0013928,0.0013928,0.0013928
48,6240.7,0.96279,0.98832,1.26582,0.85063,0.76353,0.86068,0.64924,0.90643,1.02406,1.31031,0.0013796,0.0013796,0.0013796
49,6375.45,0.95846,0.96118,1.29837,0.8562,0.76536,0.86013,0.64805,0.90202,1.10999,1.3388,0.0013664,0.0013664,0.0013664
50,6510.24,0.9807,1.04192,1.31973,0.85865,0.78055,0.87372,0.66111,0.89369,1.08128,1.32797,0.0013532,0.0013532,0.0013532
51,6644.99,0.92613,0.95824,1.2883,0.87774,0.76816,0.86451,0.65262,0.89843,0.97043,1.3213,0.00134,0.00134,0.00134
52,6779.86,0.95393,0.98553,1.26373,0.87082,0.77654,0.87452,0.68118,0.86713,0.99773,1.28304,0.0013268,0.0013268,0.0013268
53,6915.09,0.89512,0.92546,1.24634,0.88275,0.78492,0.88441,0.69805,0.82626,0.83866,1.27751,0.0013136,0.0013136,0.0013136
54,7050.62,0.89034,0.90708,1.2369,0.88275,0.79911,0.8961,0.69301,0.85945,0.90866,1.28619,0.0013004,0.0013004,0.0013004
