epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5424,1.00871,2.85694,1.12111,0.12679,0.55986,0.10717,0.06077,1.1925,14.166,1.32967,0.000664042,0.000664042,0.000664042
2,79.61,1.32912,2.48777,1.34291,0.57623,0.49648,0.5063,0.26782,1.56442,2.0229,1.56281,0.00131314,0.00131314,0.00131314
3,111.373,1.52321,2.32687,1.50442,0.40833,0.41068,0.34383,0.16596,1.61097,3.63284,1.80641,0.00194464,0.00194464,0.00194464
4,150.562,1.40771,1.96586,1.45768,0.66853,0.53263,0.6056,0.40523,1.29413,1.93631,1.45187,0.0019208,0.0019208,0.0019208
5,184.74,1.26199,1.80796,1.32635,0.471,0.54577,0.45655,0.29739,1.32718,1.98793,1.40459,0.0018944,0.0018944,0.0018944
6,218.935,1.18822,1.68362,1.28781,0.66119,0.54577,0.63244,0.43056,1.22107,1.82578,1.3529,0.001868,0.001868,0.001868
7,254.599,1.23541,1.59465,1.34002,0.67232,0.59507,0.66065,0.44464,1.29285,1.51385,1.32676,0.0018416,0.0018416,0.0018416
8,288.52,1.18737,1.39922,1.26823,0.63576,0.65141,0.67895,0.45314,nan,nan,nan,0.0018152,0.0018152,0.0018152
9,323.124,1.1503,1.55609,1.26152,0.70896,0.58325,0.67547,0.47786,1.14402,1.53867,1.31837,0.0017888,0.0017888,0.0017888
10,358.991,1.11255,1.5089,1.25245,0.72125,0.64789,0.71329,0.51321,0.99225,1.91325,1.21939,0.0017624,0.0017624,0.0017624
11,392.976,1.07856,1.28729,1.20036,0.77198,0.65845,0.76786,0.54124,1.06457,1.26821,1.22486,0.001736,0.001736,0.001736
12,429.159,1.02096,1.21803,1.20832,0.7619,0.72535,0.81851,0.59912,0.96691,1.12853,1.19218,0.0017096,0.0017096,0.0017096
13,461.963,0.98071,1.16042,1.14516,0.74761,0.74054,0.81599,0.60936,1.0642,1.08034,1.22065,0.0016832,0.0016832,0.0016832
14,498.09,0.98974,1.11345,1.17842,0.72362,0.68221,0.76694,0.56297,1.05829,1.2019,1.22231,0.0016568,0.0016568,0.0016568
15,533.361,0.97561,1.09474,1.13193,0.77779,0.76413,0.83367,0.6098,1.01559,1.01463,1.21129,0.0016304,0.0016304,0.0016304
16,568.939,0.95431,0.9861,1.14826,0.76686,0.79577,0.83231,0.63119,0.91995,1.07248,1.15351,0.001604,0.001604,0.001604
